system,chain,state,operation,expected,actual,ok,tx_or_error
baseline,chain-a,PENDING_OUT,transferFrom,success,success,true,0x9e549be43ef55a10c4438e9ea6f53649e18d8f49bcefb633cf214561e13aea5c
baseline,chain-a,PENDING_OUT,safeTransferFrom,success,success,true,0x3db357d6888bf6a029234b91019c0b899d774cb8456435946d7ea08b335ee2ad
baseline,chain-a,PENDING_OUT,approve,success,success,true,0xe961780c0dbbbe5c52b09ad13e8f5ed479d78d6ba08f03dafc5304d404ec3ac8
baseline,chain-a,PENDING_OUT,setApprovalForAll,success,success,true,0xc1e473073b5f56b168ff1c497f3bb052c66f83f06d7816861d7710c6f124c857
baseline,chain-a,PENDING_OUT,directList,success,success,true,0x899da612203ac9459ee8b1ad90fe137d94104af0002964caf4d1f6165723d7a7
baseline,chain-a,PENDING_OUT,marketplaceList,success,success,true,0x1c6ada2c67f4259b6e3cbd80f9ced4e6588e0ad3c5ab46edfd458c28116e509f
proposal,chain-a,PENDING_OUT,transferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(201; 1)
proposal,chain-a,PENDING_OUT,safeTransferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(202; 1)
proposal,chain-a,PENDING_OUT,approve,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(203; 1)
proposal,chain-a,PENDING_OUT,setApprovalForAll,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7f9baec5: 000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266; data: "0x7f9baec5000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266": OperatorApprovalWhileOwnerHasPendingTokens(0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266)
proposal,chain-a,PENDING_OUT,directList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(205; 1)
proposal,chain-a,PENDING_OUT,marketplaceList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7b71c2de; data: "0x7b71c2de": ListingRejectedByTokenState
baseline,chain-b,FINALIZED,destinationTransfer,success,success,true,0xfa2f2fcd507af61af40b5d3a417e4c59ceb40559629ee0f8498f214fecc171da
proposal,chain-b,FINALIZED,destinationTransfer,success,success,true,0x2d817f5932b730d6462a04f68f62c0bbfd22838976b867940c74c88aa8122fab
proposal,chain-b,FINALIZED,replayFinalize,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x73235a22: 00000000000000000000000000000000000000000000000000000000000007d1; data: "0x73235a2200000000000000000000000000000000000000000000000000000000000007d1": MessageAlreadyFinalized(0x00000000000000000000000000000000000000000000000000000000000007d1)
