system,chain,state,operation,expected,actual,ok,tx_or_error
baseline,chain-a,PENDING_OUT,transferFrom,success,success,true,0x22d71330f641f40c07ea487041932240515415e63bb0e1351753362800cc5ab9
baseline,chain-a,PENDING_OUT,safeTransferFrom,success,success,true,0x4d457a40affd03917f27bf5b246b57f833eba38434f157afe32f9107c8eb3161
baseline,chain-a,PENDING_OUT,approve,success,success,true,0x72f8281c77b8d43d388817c45d2dfae0a27e62785819c6406694797afc3a4c0f
baseline,chain-a,PENDING_OUT,setApprovalForAll,success,success,true,0x5794ec1bd9f98a558660c9b153050629dcf2d82c2764f56fbb4163647c8fca13
baseline,chain-a,PENDING_OUT,directList,success,success,true,0x087875ba4bdf764c0918b7634d19b8f2c8de620219ed03d501be9afec83a317f
baseline,chain-a,PENDING_OUT,marketplaceList,success,success,true,0x930c1564e87e4ad44f79193a14e14a49e35fa159d96bdbb6d733afab270727ea
proposal,chain-a,PENDING_OUT,transferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000c90000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(201; 1)
proposal,chain-a,PENDING_OUT,safeTransferFrom,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000ca0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(202; 1)
proposal,chain-a,PENDING_OUT,approve,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cb0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(203; 1)
proposal,chain-a,PENDING_OUT,setApprovalForAll,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7f9baec5: 000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266; data: "0x7f9baec5000000000000000000000000f39fd6e51aad88f6f4ce6ab8827279cfffb92266": OperatorApprovalWhileOwnerHasPendingTokens(0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266)
proposal,chain-a,PENDING_OUT,directList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0xa54a2c1d: 00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001; data: "0xa54a2c1d00000000000000000000000000000000000000000000000000000000000000cd0000000000000000000000000000000000000000000000000000000000000001": HazardousOperationWhilePending(205; 1)
proposal,chain-a,PENDING_OUT,marketplaceList,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x7b71c2de; data: "0x7b71c2de": ListingRejectedByTokenState
baseline,chain-b,FINALIZED,destinationTransfer,success,success,true,0x4da84bbb32f5e2b21020339dd8c25db4e423b60af76f937d5fcbc1152d856c46
proposal,chain-b,FINALIZED,destinationTransfer,success,success,true,0x7344b39a62c27ffeed2c2eda85c4d85098633eedffa61ba6f4e4ffeb64c7eb03
proposal,chain-b,FINALIZED,replayFinalize,revert,revert,true,Error: Failed to estimate gas: server returned an error response: error code 3: execution reverted: custom error 0x73235a22: 00000000000000000000000000000000000000000000000000000000000007d1; data: "0x73235a2200000000000000000000000000000000000000000000000000000000000007d1": MessageAlreadyFinalized(0x00000000000000000000000000000000000000000000000000000000000007d1)
